value,label
3231,Douglas-fir-Grand Fir-White Fir Forest and Woodland
3029,Western Oak Woodland and Savanna
3030,Conifer-Oak Forest and Woodland
3260,Conifer-Oak Forest and Woodland
3261,Conifer-Oak Forest and Woodland
3031,Ponderosa Pine Forest  Woodland and Savanna
3022,Western Red-cedar-Western Hemlock Forest
3034,Chaparral
3170,Chaparral
3177,Conifer-Oak Forest and Woodland
3014,California Mixed Evergreen Forest and Woodland
3313,Beech-Maple-Basswood Forest
3114,Conifer-Oak Forest and Woodland
3230,Conifer-Oak Forest and Woodland
3264,Conifer-Oak Forest and Woodland
3265,Conifer-Oak Forest and Woodland
3605,Birch-Aspen Forest
3642,Birch-Cottonwood-Poplar Forest
3113,Western Oak Woodland and Savanna
3118,Western Oak Woodland and Savanna
3033,Subalpine Woodland and Parkland
3314,Beech-Maple-Basswood Forest
3302,Yellow Birch-Sugar Maple Forest
3350,Spruce-Fir-Hardwood Forest
3373,Spruce-Fir-Hardwood Forest
3374,Spruce-Fir-Hardwood Forest
3402,Atlantic Swamp Forests
3526,Atlantic Swamp Forests
3554,Spruce-Fir-Hardwood Forest
3555,Spruce-Fir-Hardwood Forest
3409,Great Lakes Alvar
3276,Eastern Floodplain Forests
3277,Eastern Floodplain Forests
3281,Atlantic Swamp Forests
3475,Eastern Floodplain Forests
3481,Atlantic Swamp Forests
3308,Post Oak Woodland and Savanna
3312,Montane Oak Forest
3326,Hardwood Flatwoods
3342,Post Oak Woodland and Savanna
3358,Shortleaf Pine Woodland
3364,Post Oak Woodland and Savanna
3381,Post Oak Woodland and Savanna
3519,Post Oak Woodland and Savanna
3394,Bur Oak Woodland and Savanna
3288,Chestnut Oak-Virginia Pine Forest and Woodland
3305,Chestnut Oak Forest and Woodland
3315,Chestnut Oak Forest and Woodland
3317,Chestnut Oak Forest and Woodland
3369,Chestnut Oak-Virginia Pine Forest and Woodland
3377,Chestnut Oak-Virginia Pine Forest and Woodland
3463,Chestnut Oak-Virginia Pine Forest and Woodland
3502,Chestnut Oak-Virginia Pine Forest and Woodland
3556,Chestnut Oak-Virginia Pine Forest and Woodland
3557,Chestnut Oak-Virginia Pine Forest and Woodland
3354,Pitch Pine Woodlands
3355,Pitch Pine Woodlands
3456,Pitch Pine Woodlands
3375,Glades and Barrens
3430,Prairies and Barrens
3567,Prairies and Barrens
3244,Spruce-Fir-Hardwood Forest
3245,Spruce-Fir-Hardwood Forest
3365,Spruce-Fir-Hardwood Forest
3352,Pitch Pine Woodlands
3303,White Oak-Red Oak-Hickory Forest and Woodland
3306,White Oak-Beech Forest and Woodland
3307,Coastal Plain Oak Forest
3310,White Oak-Red Oak-Hickory Forest and Woodland
3316,White Oak-Beech Forest and Woodland
3320,Montane Oak Forest
3324,Coastal Plain Oak Forest
3334,Beech-Maple-Basswood Forest
3376,White Oak-Red Oak-Hickory Forest and Woodland
3304,White Oak-Red Oak-Hickory Forest and Woodland
3322,White Oak-Beech Forest and Woodland
3327,White Oak-Beech Forest and Woodland
3509,White Oak-Beech Forest and Woodland
3309,Yellow Birch-Sugar Maple Forest
3318,Beech-Maple-Basswood Forest
3325,Sweetgum-Water Oak Forest
3368,Chestnut Oak-Virginia Pine Forest and Woodland
3406,Chestnut Oak-Virginia Pine Forest and Woodland
3448,Chestnut Oak-Virginia Pine Forest and Woodland
3321,Beech-Maple-Basswood Forest
3370,Pine-Hemlock-Hardwood Forest
3511,Pine-Hemlock-Hardwood Forest
3512,Pine-Hemlock-Hardwood Forest
3274,Eastern Floodplain Forests
3275,Eastern Floodplain Forests
3280,Atlantic Swamp Forests
3300,Eastern Small Stream Riparian Forests
3319,Eastern Small Stream Riparian Forests
3471,Eastern Floodplain Forests
3472,Eastern Small Stream Riparian Forests
3479,Atlantic Swamp Forests
3518,Hardwood Flatwoods
3349,Longleaf Pine Woodland
3351,Longleaf Pine Woodland
3552,Longleaf Pine Woodland
3346,Longleaf Pine Woodland
3347,Longleaf Pine Woodland
3348,Longleaf Pine Woodland
3356,Longleaf Pine Woodland
3403,Glades and Barrens
3335,Coastal Plain Oak Forest
3387,Southern Scrub Oak
3565,Southern Scrub Oak
3361,Maritime Forest
3380,Maritime Forest
3382,Maritime Forest
3507,Shortleaf Pine Woodland
3367,Shortleaf Pine-Oak Forest and Woodland
3372,Shortleaf Pine-Oak Forest and Woodland
3378,Shortleaf Pine Woodland
3510,Shortleaf Pine-Oak Forest and Woodland
3527,Shortleaf Pine-Oak Forest and Woodland
3546,Shortleaf Pine-Oak Forest and Woodland
3582,Shortleaf Pine-Oak Forest and Woodland
3583,Shortleaf Pine-Oak Forest and Woodland
3586,Shortleaf Pine Woodland
3587,Shortleaf Pine Woodland
3353,Virginia Pine Forest
3379,Maritime Forest
3550,Loblolly Pine Forest and Woodland
3371,Shortleaf Pine Woodland
3458,Pine Flatwoods
3584,Shortleaf Pine Woodland
3585,Shortleaf Pine Woodland
3590,Pine Flatwoods
3591,Pine Flatwoods
3450,Pine Flatwoods
3451,Pine Flatwoods
3453,Pine Flatwoods
3454,Pine Flatwoods
3553,Loblolly Pine-Slash Pine Forest and Woodland
3551,Pine Flatwoods
3357,Sweetgum-Water Oak Forest
3457,Hardwood Flatwoods
3506,Hardwood Flatwoods
3330,Coastal Plain Oak Forest
3338,Texas Live Oak
3339,Texas Live Oak
3384,Maritime Forest
3328,Sweetgum-Water Oak Forest
3329,White Oak-Beech Forest and Woodland
3455,Pine Flatwoods
3588,Pine Flatwoods
3589,Pine Flatwoods
3323,Sweetgum-Water Oak Forest
3332,Eastern Floodplain Forests
3343,Sweetgum-Water Oak Forest
3359,Eastern Floodplain Forests
3473,Eastern Floodplain Forests
3474,Eastern Small Stream Riparian Forests
3513,Pine Flatwoods
3573,Eastern Small Stream Riparian Forests
3574,Eastern Small Stream Riparian Forests
3501,Atlantic Swamp Forests
3449,Pine Flatwoods
3569,Pine Flatwoods
3134,Grassland
3138,Grassland
3142,Grassland
3171,Grassland
3065,Desert Scrub
3123,Grassland and Steppe
3017,Juniper Woodland and Savanna
3202,Juniper Woodland and Savanna
3068,Alpine Dwarf-Shrubland  Fell-field and Meadow
3165,Douglas-fir Forest and Woodland
3268,Aspen Forest  Woodland  and Parkland
3331,Aspen Forest  Woodland  and Parkland
3112,Western Oak Woodland and Savanna
3151,Western Riparian Woodland and Shrubland
3152,Western Riparian Woodland and Shrubland
